Software_Package,Alias,count
Astroblend,AstroBlend,5
Astroblend,astroblend.com,3
Astropy,AstroPy,437
Astropy,Astropy Collaboration,250
Astropy,Astropy Collaboration 2013,166
Astropy,"Astropy Collaboration 2013, 2018",1
Astropy,Astropy Collaboration 2018,4
Astropy,Astropy Collaboration et al. (2013),173
Astropy,Astropy Collaboration et al. (2018),5
Astropy,Astropy Collaboration et al. 2013,173
Astropy,Astropy Collaboration et al. 2018,5
Astropy,"Astropy Collaboration et al., 2013, 2018",1
Astropy,"Astropy Collaboration, 2013",166
Astropy,"Astropy Collaboration, 2018",4
Astropy,astropy.cosmology,12
Astropy,astropy.org,59
Astropy,astropy.units,14
Astropy,astropy/astroplan,1
Astropy,astropy/astroquery,4
Astropy,astropy/astroscrappy,4
Astropy,astropy/halotools,2
Astropy,astropy/photutils,6
Astropy,github.com/astropy,20
Astropy,github.com/astropy/astroplan,1
Astropy,github.com/astropy/astroquery,2
Astropy,github.com/astropy/astroscrappy,4
Astropy,github.com/astropy/halotools,2
Astropy,github.com/astropy/photutils,2
RADMC-3D,RADMC,287
RADMC-3D,RADMC-2D,3
RADMC-3D,RADMC-3D,161
RADMC-3D,RADMC3D,160
RADMC-3D,dullemond/software/radmc-3d,60
RADMC-3D,ita.uni-heidelberg.de/dullemond/software/radmc-3d,39
RADMC-3D,ita.uni-heidelberg.de/~dullemond/software/radmc-3d,39
RADMC-3D,radmc,134
RADMC-3D,radmc-3d,127
RADMC-3D,radmc2d,1
RADMC-3D,radmc3d,86
SAOImage DS9,DS9,608
SAOImage DS9,DS9 region,1
SAOImage DS9,DS9 regions,1
SAOImage DS9,SAO Image,23
SAOImage DS9,SAO Image DS9,3
SAOImage DS9,SAO image ds9,3
SAOImage DS9,SAOIMAGE,1
SAOImage DS9,SAOImage,379
SAOImage DS9,SAOImage DS9,230
SAOImage DS9,SAOtng,21
SAOImage DS9,"This work was performed in large part under a grant from NASA\'s Applied Information System Research Program (NAGW-3913), with support from the AXAF Science Center (NAS8-39073).",1
SAOImage DS9,ds9,447
SAOImage DS9,ds9 region,51
SAOImage DS9,ds9 regions,50
SAOImage DS9,ds9.si.edu,48
SAOImage DS9,hea-www.harvard.edu/RD/ds9,43
SAOImage DS9,hea-www.harvard.edu/saord/ds9,3
SAOImage DS9,hea-www.harvard.edu/saord/funtools/ds9,1
SAOImage DS9,pyds9,2
SAOImage DS9,saoimage ds9,51
Spec2d,DEEP2 DEIMOS Data Pipeline,9
Spec2d,DEEP2 DEIMOS Data Reduction Pipeline,7
Spec2d,DEEP2 DEIMOS Pipeline,9
Spec2d,DEIMOS pipeline,25
Spec2d,Spec2d,196
Spec2d,The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,5
Spec2d,astro.berkeley.edu/~cooper/deep/spec2d,29
Spec2d,astron.berkeley.edu/~cooper/deep/spec2d,13
Spec2d,deep.berkeley.edu/spec2d,7
Spec2d,deep.ps.uci.edu/spec2d,4
Spec2d,idlspec2d,91
Spec2d,keck.hawaii.edu/inst/deimos/pipeline.html,6
Spec2d,sdss3.org/svn/repo/idlspec2d,5
Spec2d,spectro.princeton.edu/idlspec2d,14
Spec2d,svn.sdss.org/public/repo/manga/mangadrp/tags/v1_5_4/pro/spec2d,1
Stringray,HENDRICS,2
Stringray,Stingray,318
Stringray,github.com/StingraySoftware,1
Stringray,github.com/StingraySoftware/notebooks,1
TARDIS,TARDIS,57
TARDIS,Tardis,67
TARDIS,tardis-sn,1
TARDIS,tardis.readthedocs.io,1
WCSTools,LibWCS,2
WCSTools,WCS Tools,12
WCSTools,WCSLIB,23
WCSTools,WCSTools,243
WCSTools,gethead,24
WCSTools,harvard.edu/software/wcstools,37
WCSTools,imwcs,58
WCSTools,sethead,7
WCSTools,sky2xy,9
WCSTools,tdc-www.cfa.harvard.edu/software/wcstools,2
WCSTools,tdc-www.harvard.edu/software/wcstools,26
WCSTools,tdc-www.harvard.edu/wcstools,21
WCSTools,wcs tools,2
WCSTools,wcslib,24
WCSTools,xy2sky,27
